"user_id","work_id","mr_share"
"user_id","work_id","mr_share"
"user_id","work_id","mr_share"
"141","1097","50"
"262","1098","61"
"133","1099","100"
"223","1100","100"
"345","1101","50"
"124","1101","50"
"106","1103","35"
"124","2227","100"
"364","2242","25"
"92","1106","100"
"399","1107","100"
"271","1108","33.329999999999998"
"100","1109","16.66"
"223","1110","25"
"271","1111","50"
"119","1112","100"
"416","1113","50"
"22","1114","20"
"416","1115","50"
"374","1116","25"
"345","1117","25"
"166","1118","1"
"271","1119","20"
"46","1120","25"
"271","1121","50"
"255","1122","20"
"106","1123","50"
"271","1124","33.329999999999998"
"37","1125","100"
"242","1126","50"
"92","1127","100"
"145","1128","50"
"197","1129","55"
"328","1130","25"
"92","1131","100"
"271","1132","2"
"119","1133","100"
"283","1134","100"
"411","1135","50"
"152","1136","25"
"256","1137","12.5"
"70","1138","50"
"331","1139","33.329999999999998"
"283","1140","100"
"271","1141","33.340000000000003"
"399","1142","50"
"256","1143",""
"256","1144",""
"5","1145","50"
"68","1146","25"
"108","1147","100"
"92","1148","100"
"326","1149","30"
"256","1150","7.5"
"276","1151","50"
"152","1152","5"
"250","1152","25"
"90","1154","50"
"339","1155","10"
"168","1156","25"
"345","1157","25"
"75","1158","50"
"223","1159","100"
"261","1160",""
"83","1161","25"
"145","1162","12.5"
"124","1163","100"
"223","1164","25"
"345","1165","18.75"
"193","1166",""
"168","1167","25"
"262","1168","51"
"280","1169","25"
"371","1170","50"
"301","1171","100"
"22","1172","20"
"322","1173",""
"124","1174","100"
"420","1175","50"
"37","1175","16.68"
"186","1177","25"
"271","1178","33.329999999999998"
"269","1179","12.5"
"326","1180","50"
"113","1181","25"
"92","1182","50"
"168","1183","45"
"145","1184","50"
"145","1185","50"
"182","1186","50"
"399","1187","33.329999999999998"
"205","1188","25"
"271","1189","33.340000000000003"
"271","1190","50"
"124","1191","100"
"401","1192","100"
"231","1193","50"
"163","1194","10"
"223","1195","25"
"215","1196","22.5"
"350","1197","1.75"
"206","1198","16.66"
"197","1199","50"
"90","1200","16.670000000000002"
"256","1201",""
"5","1202","50"
"163","1203","50"
"92","1204","100"
"68","1205",""
"37","1206","15"
"280","1207","16.670000000000002"
"407","1208","100"
"63","1209",""
"113","1210","50"
"404","1211","12.5"
"217","1212","50"
"68","1213","13.875"
"269","1214","16.66"
"85","1215","100"
"37","1216","20"
"217","1217","50"
"345","1218","33.329999999999998"
"112","1220","12.5"
"167","1221","25"
"419","1222","50"
"113","1223","50"
"297","1224","50"
"223","1225","50"
"578","1226","33.329999999999998"
"129","1227","100"
"401","1228","50"
"401","1229","50"
"186","1230","50"
"345","1231","25"
"125","1232","10"
"412","1233","100"
"262","1234","72"
"399","1235","33.329999999999998"
"145","1236","50"
"353","1237",""
"285","1238","5"
"401","1239","50"
"133","1240","100"
"145","1241","50"
"68","1242","50"
"148","1243","25"
"75","1244","20"
"163","1245","25"
"129","1246","100"
"238","1247","50"
"383","1248","5"
"217","1249","50"
"145","1250","50"
"14","1251","50"
"22","1252","50"
"306","1253","100"
